player_name,game_date,team,starter,injury_status,health_status,suspension_status,family_context,expected_minutes,salary_dk,salary_fd,implied_team_total,game_total,spread,rest_days,travel_miles
Malaki Branham,2026-03-05,WAS,0.0,,,,,,,,,,,,
Sharife Cooper,2026-03-05,WAS,0.0,,,,,,,,,,,,
Skal Labissiere,2026-03-05,WAS,0.0,,,,,,,,,,,,
Tre Johnson,2026-03-05,WAS,1.0,,,,,,,,,,,,
Tristan Vukcevic,2026-03-05,WAS,0.0,,,,,,,,,,,,
Will Riley,2026-03-05,WAS,0.0,,,,,,,,,,,,
Ace Bailey,2026-03-05,UTA,1.0,,,,,,,,,,,,
Blake Hinson,2026-03-05,UTA,0.0,,,,,,,,,,,,
Brice Sensabaugh,2026-03-05,UTA,0.0,,,,,,,,,,,,
Cody Williams,2026-03-05,UTA,1.0,,,,,,,,,,,,
Elijah Harkless,2026-03-05,UTA,0.0,,,,,,,,,,,,
Isaiah Collier,2026-03-05,UTA,1.0,,,,,,,,,,,,
Jaren Jackson Jr.,2026-03-05,UTA,0.0,,,,,,,,,,,,
John Konchar,2026-03-05,UTA,1.0,,,,,,,,,,,,
Jusuf Nurkić,2026-03-05,UTA,0.0,,,,,,,,,,,,
Kevin Love,2026-03-05,UTA,0.0,,,,,,,,,,,,
Keyonte George,2026-03-05,UTA,0.0,,,,,,,,,,,,
Kyle Filipowski,2026-03-05,UTA,1.0,,,,,,,,,,,,
Lauri Markkanen,2026-03-05,UTA,0.0,,,,,,,,,,,,
Oscar Tshiebwe,2026-03-05,UTA,0.0,,,,,,,,,,,,
Svi Mykhailiuk,2026-03-05,UTA,0.0,,,,,,,,,,,,
Vince Williams Jr.,2026-03-05,UTA,0.0,,,,,,,,,,,,
Walker Kessler,2026-03-05,UTA,0.0,,,,,,,,,,,,
Andrew Wiggins,2026-03-05,MIA,1.0,,,,,,,,,,,,
Bam Adebayo,2026-03-05,MIA,1.0,,,,,,,,,,,,
Davion Mitchell,2026-03-05,MIA,1.0,,,,,,,,,,,,
Dru Smith,2026-03-05,MIA,0.0,,,,,,,,,,,,
Jahmir Young,2026-03-05,MIA,0.0,,,,,,,,,,,,
Jaime Jaquez Jr.,2026-03-05,MIA,0.0,,,,,,,,,,,,
Kasparas Jakučionis,2026-03-05,MIA,0.0,,,,,,,,,,,,
Kel'el Ware,2026-03-05,MIA,0.0,,,,,,,,,,,,
Keshad Johnson,2026-03-05,MIA,0.0,,,,,,,,,,,,
Myron Gardner,2026-03-05,MIA,0.0,,,,,,,,,,,,
Nikola Jović,2026-03-05,MIA,0.0,,,,,,,,,,,,
Norman Powell,2026-03-05,MIA,0.0,,,,,,,,,,,,
Pelle Larsson,2026-03-05,MIA,1.0,,,,,,,,,,,,
Simone Fontecchio,2026-03-05,MIA,0.0,,,,,,,,,,,,
Trevor Keels,2026-03-05,MIA,0.0,,,,,,,,,,,,
Tyler Herro,2026-03-05,MIA,1.0,,,,,,,,,,,,
Vladislav Goldin,2026-03-05,MIA,0.0,,,,,,,,,,,,
Ben Saraf,2026-03-05,BKN,0.0,,,,,,,,,,,,
Danny Wolf,2026-03-05,BKN,0.0,,,,,,,,,,,,
Day'Ron Sharpe,2026-03-05,BKN,0.0,,,,,,,,,,,,
Drake Powell,2026-03-05,BKN,0.0,,,,,,,,,,,,
E.J. Liddell,2026-03-05,BKN,0.0,,,,,,,,,,,,
Egor Dëmin,2026-03-05,BKN,0.0,,,,,,,,,,,,
Grant Nelson,2026-03-05,BKN,0.0,,,,,,,,,,,,
Jalen Wilson,2026-03-05,BKN,0.0,,,,,,,,,,,,
Josh Minott,2026-03-05,BKN,0.0,,,,,,,,,,,,
Michael Porter Jr.,2026-03-05,BKN,1.0,,,,,,,,,,,,
Nic Claxton,2026-03-05,BKN,1.0,,,,,,,,,,,,
Noah Clowney,2026-03-05,BKN,1.0,,,,,,,,,,,,
Nolan Traore,2026-03-05,BKN,1.0,,,,,,,,,,,,
Ochai Agbaji,2026-03-05,BKN,0.0,,,,,,,,,,,,
Terance Mann,2026-03-05,BKN,1.0,,,,,,,,,,,,
