game_date,game,team,opponent,player_name,lineup_status,market,projection,bet_higher_if_line_leq,bet_lower_if_line_geq,confidence_flag,historical_games_used
2026-03-05,HOU @ GSW,GSW,HOU,Brandin Podziemski,confirmed,AST,4.53,3.5,6.0,high_confidence,61
2026-03-05,MIN @ TOR,TOR,MIN,Brandon Ingram,confirmed,AST,3.69,2.5,5.0,high_confidence,61
2026-03-05,WAS @ UTA,UTA,WAS,Kyle Filipowski,confirmed,AST,3.56,2.5,5.0,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Royce O'Neale,expected,AST,2.95,1.5,4.0,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Royce O'Neale,expected,3PM,2.79,2.0,3.5,high_confidence,61
2026-03-05,MIN @ TOR,TOR,MIN,Scottie Barnes,confirmed,TO,2.67,2.0,3.5,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Oso Ighodaro,expected,AST,2.57,1.5,4.0,high_confidence,61
2026-03-05,MIN @ TOR,TOR,MIN,Brandon Ingram,confirmed,TO,2.54,2.0,3.5,high_confidence,61
2026-03-05,WAS @ UTA,UTA,WAS,Kyle Filipowski,confirmed,TO,2.45,1.5,3.0,high_confidence,61
2026-03-05,HOU @ GSW,GSW,HOU,Brandin Podziemski,confirmed,TO,1.94,1.0,2.5,high_confidence,61
2026-03-05,MIN @ TOR,TOR,MIN,Brandon Ingram,confirmed,3PM,1.69,1.0,2.5,high_confidence,61
2026-03-05,HOU @ GSW,GSW,HOU,Brandin Podziemski,confirmed,3PM,1.67,1.0,2.5,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Oso Ighodaro,expected,TO,1.57,1.0,2.5,high_confidence,61
2026-03-05,MIN @ TOR,TOR,MIN,Scottie Barnes,confirmed,STL,1.54,1.0,2.5,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Royce O'Neale,expected,TO,1.5,0.5,2.0,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Oso Ighodaro,expected,STL,1.41,0.5,2.0,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Royce O'Neale,expected,STL,1.4,0.5,2.0,high_confidence,61
2026-03-05,MIN @ TOR,TOR,MIN,Scottie Barnes,confirmed,BLK,1.29,0.5,2.0,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Oso Ighodaro,expected,BLK,1.27,0.5,2.0,high_confidence,61
2026-03-05,WAS @ UTA,UTA,WAS,Kyle Filipowski,confirmed,STL,1.14,0.5,2.0,high_confidence,61
2026-03-05,HOU @ GSW,GSW,HOU,Brandin Podziemski,confirmed,STL,1.0,0.5,2.0,high_confidence,61
2026-03-05,WAS @ UTA,UTA,WAS,Kyle Filipowski,confirmed,3PM,0.91,,1.5,high_confidence,61
2026-03-05,MIN @ TOR,TOR,MIN,Brandon Ingram,confirmed,STL,0.84,,1.5,high_confidence,61
2026-03-05,MIN @ TOR,TOR,MIN,Scottie Barnes,confirmed,3PM,0.73,,1.5,high_confidence,61
2026-03-05,MIN @ TOR,TOR,MIN,Brandon Ingram,confirmed,BLK,0.72,,1.5,high_confidence,61
2026-03-05,WAS @ UTA,UTA,WAS,Kyle Filipowski,confirmed,BLK,0.5,,1.0,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Royce O'Neale,expected,BLK,0.3,,1.0,high_confidence,61
2026-03-05,HOU @ GSW,GSW,HOU,Brandin Podziemski,confirmed,BLK,0.24,,1.0,high_confidence,61
2026-03-05,CHI @ PHX,PHX,CHI,Oso Ighodaro,expected,3PM,0.06,,1.0,high_confidence,61
