player_name,team,opponent,starter,injury_status,confidence_tier,confidence_pct,adjusted_err_pct,error_margin_points,predicted_points,predicted_rebounds,predicted_assists,predicted_pra,predicted_draftkings_points,predicted_fanduel_points
Tyus Jones,DAL,ORL,0.0,,low,25.07,74.93,2.18,2.91,1.02,2.8,6.73,10.16,10.58
Victor Wembanyama,SAS,DET,1.0,,high,84.94,15.06,3.29,21.82,13.27,2.54,37.64,54.04,55.5
Vince Williams Jr.,UTA,WAS,0.0,,low,36.19,63.81,2.72,4.26,3.06,3.08,10.4,14.34,13.83
Walker Kessler,UTA,WAS,0.0,,low,52.9,47.1,6.21,13.19,10.56,2.47,26.21,38.19,37.95
Wendell Carter Jr.,ORL,DAL,1.0,Questionable,medium,64.18,35.82,4.13,11.54,8.51,2.41,22.45,28.29,28.23
Will Riley,WAS,UTA,0.0,,low,34.66,65.34,7.42,11.36,3.18,2.83,17.37,22.13,21.93
Yuki Kawamura,CHI,PHX,0.0,,low,9.35,90.65,2.79,3.08,2.38,4.37,9.82,14.94,15.34
Yves Missi,NOP,SAC,0.0,,low,49.48,50.52,2.64,5.22,5.59,0.89,11.69,16.6,17.71
Zeke Nnaji,DEN,LAL,0.0,,low,27.71,72.29,2.22,3.07,1.95,0.46,5.47,7.55,7.86
Ziaire Williams,BKN,MIA,0.0,,low,35.52,64.48,6.01,9.33,2.8,0.96,13.09,17.85,18.08
Zion Williamson,NOP,SAC,1.0,Questionable,medium,67.19,32.81,7.37,22.47,5.88,3.45,31.8,37.1,37.35
