player_name,team,opponent,confidence_tier,confidence_pct,adjusted_err_pct,error_margin_points,predicted_points,predicted_rebounds,predicted_assists,predicted_pra,predicted_draftkings_points,predicted_fanduel_points,injury_status,expected_minutes,starter,historical_games_used
Colby Jones,DET,SAS,high,95.0,5.0,0.1,1.9,4.0,1.96,7.86,9.89,9.66,,5.6,0.0,1
John Poulakidas,DAL,ORL,high,95.0,5.0,0.01,0.23,5.04,1.95,7.22,9.04,8.33,doubtful,5.3,0.0,1
Trevor Keels,MIA,BKN,high,95.0,5.0,0.01,0.25,0.99,0.06,1.31,1.62,1.57,available,2.0,0.0,1
Nikola Jokić,DEN,LAL,high,90.29,9.71,2.72,28.05,10.63,9.4,48.08,59.32,56.05,,34.7,1.0,47
Luka Dončić,LAL,DEN,high,88.55,11.45,3.27,28.59,7.76,8.47,44.81,54.31,52.39,,31.4,1.0,50
Victor Wembanyama,SAS,DET,high,84.94,15.06,3.29,21.82,13.27,2.54,37.64,54.04,55.5,,27.5,1.0,50
Cade Cunningham,DET,SAS,high,84.59,15.41,3.8,24.69,6.24,10.44,41.37,54.02,51.86,,32.5,1.0,56
Julius Randle,MIN,TOR,high,81.59,18.41,4.21,22.86,6.97,5.16,35.0,40.44,39.1,,35.6,1.0,62
Scottie Barnes,TOR,MIN,high,81.51,18.49,3.61,19.51,7.7,4.63,31.83,40.31,40.71,,29.1,1.0,61
LeBron James,LAL,DEN,high,80.74,19.26,4.04,20.95,5.99,7.2,34.14,41.74,40.8,,29.1,1.0,45
Josh Giddey,CHI,PHX,high,79.57,20.43,3.33,16.29,6.4,7.12,29.8,37.35,35.72,questionable,19.5,0.0,41
RJ Barrett,TOR,MIN,high,78.74,21.26,3.96,18.61,5.4,3.54,27.56,32.88,31.98,,32.8,1.0,37
Trey Murphy III,NOP,SAC,high,78.11,21.89,5.09,23.27,6.06,4.67,34.01,42.66,41.41,,36.9,1.0,54
Stephon Castle,SAS,DET,high,77.78,22.22,3.65,16.45,4.57,6.35,27.36,34.49,33.99,,23.7,1.0,54
Paolo Banchero,ORL,DAL,high,77.37,22.63,5.25,23.18,9.11,5.45,37.74,44.72,43.36,,39.8,1.0,50
Jamal Murray,DEN,LAL,high,77.35,22.65,5.23,23.08,3.98,7.25,34.3,42.44,40.9,,29.8,1.0,59
Anthony Edwards,MIN,TOR,high,76.96,23.04,5.99,26.0,4.96,3.14,34.1,41.41,40.15,questionable,29.2,1.0,54
Lauri Markkanen,UTA,WAS,high,76.91,23.09,5.82,25.22,6.02,1.87,33.11,38.82,37.56,,23.9,0.0,42
Rudy Gobert,MIN,TOR,high,76.81,23.19,2.38,10.26,10.94,1.49,22.69,33.41,33.88,,34.5,1.0,59
Devin Booker,PHX,CHI,high,76.55,23.45,5.43,23.16,3.61,6.35,33.12,39.17,37.85,,27.5,1.0,47
Jalen Duren,DET,SAS,high,76.5,23.5,4.32,18.37,10.73,1.94,31.04,38.77,37.34,,25.7,1.0,52
Michael Porter Jr.,BKN,MIA,high,75.38,24.62,6.5,26.39,7.05,2.96,36.39,42.75,40.61,,32.2,1.0,49
Amen Thompson,HOU,GSW,high,75.16,24.84,4.58,18.45,8.37,5.09,31.9,38.88,38.74,questionable,32.5,1.0,58
Immanuel Quickley,TOR,MIN,high,75.07,24.93,3.85,15.42,3.9,6.89,26.21,33.37,32.08,,35.0,1.0,58
Tyler Herro,MIA,BKN,high,74.43,25.57,5.54,21.68,4.16,3.9,29.74,35.21,34.03,,31.5,1.0,17
De'Aaron Fox,SAS,DET,high,73.92,26.08,5.1,19.54,3.42,5.57,28.53,34.49,33.61,,24.9,1.0,55
Nic Claxton,BKN,MIA,high,73.63,26.37,3.78,14.33,7.14,3.6,25.08,31.34,31.97,,28.5,1.0,55
Jaren Jackson Jr.,UTA,WAS,high,72.99,27.01,4.73,17.52,4.99,1.84,24.35,31.01,31.48,,24.3,0.0,48
Jimmy Butler III,GSW,HOU,high,72.94,27.06,4.96,18.33,4.29,3.24,25.86,31.29,31.67,,24.3,0.0,38
Austin Reaves,LAL,DEN,high,72.88,27.12,5.49,20.23,5.41,5.45,31.09,37.53,36.18,,33.1,1.0,35
Leaky Black,WAS,UTA,high,72.54,27.46,1.65,6.02,7.89,0.62,14.53,21.19,22.95,,32.6,1.0,2
Ausar Thompson,DET,SAS,high,72.36,27.64,2.75,9.95,5.93,3.23,19.1,27.39,29.24,,28.9,1.0,56
Andrew Wiggins,MIA,BKN,high,72.24,27.76,4.23,15.23,5.13,2.93,23.3,30.63,30.78,available,32.1,1.0,56
Collin Gillespie,PHX,CHI,high,72.2,27.8,4.17,14.99,4.02,6.23,25.24,33.66,32.29,,33.4,1.0,60
Russell Westbrook,SAC,NOP,high,71.88,28.12,4.53,16.12,4.27,5.97,26.37,32.76,31.21,,26.5,1.0,58
Kevin Durant,HOU,GSW,high,71.65,28.35,7.72,27.24,5.17,4.65,37.07,43.7,42.47,,32.6,1.0,59
Saddiq Bey,NOP,SAC,high,71.62,28.38,5.71,20.11,6.17,3.03,29.31,34.41,33.24,,35.3,1.0,56
Jusuf Nurkić,UTA,WAS,high,71.4,28.6,2.7,9.43,8.92,4.34,22.69,29.71,29.53,,23.2,0.0,41
Bam Adebayo,MIA,BKN,high,71.25,28.75,5.43,18.89,9.96,2.86,31.71,40.39,40.64,,35.2,1.0,54
Donte DiVincenzo,MIN,TOR,high,70.73,29.27,3.61,12.32,4.38,4.7,21.39,28.23,27.22,,31.3,1.0,62
Desmond Bane,ORL,DAL,high,70.69,29.31,6.02,20.55,3.87,3.78,28.2,34.58,34.21,,37.9,1.0,60
DeMar DeRozan,SAC,NOP,high,70.58,29.42,5.24,17.83,3.44,4.75,26.02,30.67,30.23,,28.5,1.0,63
Jalen Suggs,ORL,DAL,high,70.43,29.57,4.21,14.23,4.11,5.27,23.62,32.82,33.39,,28.7,1.0,37
Brandon Ingram,TOR,MIN,high,70.3,29.7,6.5,21.89,5.42,4.01,31.32,37.23,36.25,questionable,26.1,1.0,61
Tre Jones,CHI,PHX,high,70.09,29.91,3.53,11.79,3.66,5.44,20.9,27.15,27.29,,26.6,1.0,45
Jonas Valančiūnas,DEN,LAL,medium,69.18,30.82,2.63,8.54,4.27,1.12,13.93,16.72,16.71,,10.3,0.0,50
Royce O'Neale,PHX,CHI,medium,68.75,31.25,3.38,10.82,5.42,3.21,19.44,25.96,25.03,,30.3,1.0,61
Nate Williams,GSW,HOU,medium,68.39,31.61,3.7,11.7,1.5,2.08,15.29,18.25,17.16,,14.9,0.0,2
Jabari Smith Jr.,HOU,GSW,medium,67.99,32.01,4.34,13.55,8.47,1.73,23.76,30.41,29.95,questionable,32.4,1.0,57
Deandre Ayton,LAL,DEN,medium,67.6,32.4,4.0,12.35,7.51,1.08,20.94,25.38,25.71,,26.4,1.0,53
